labelset,cell_label,cell_fullname,n_cells,source,source_label,cell_count,partitioned,source_label_total,purity,coverage
L4,Endo_ven_apcv,Activated post-capillary venous endothelial,4851,celltype_Ulrich2024,Artery,8,332,1128,0.0241,0.0071
L4,Endo_ven_apcv,Activated post-capillary venous endothelial,4851,celltype_Ulrich2024,HEV,7,332,616,0.0211,0.0114
L4,Endo_ven_apcv,Activated post-capillary venous endothelial,4851,celltype_Ulrich2024,PCV,5,332,3751,0.0151,0.0013
L4,Endo_ven_apcv,Activated post-capillary venous endothelial,4851,celltype_Ulrich2024,EndoMT,4,332,125,0.012,0.032
L4,Endo_ven_apcv,Activated post-capillary venous endothelial,4851,celltype_Ulrich2024,MUC16+_Gland_sec,1,332,1447,0.003,0.0007
L4,Endo_ven_apcv,Activated post-capillary venous endothelial,4851,celltype_Weigert2025,endothelial cell,1168,1168,4780,1.0,0.2444
L3,Endo_ven_hev,High endothelial venule,11495,celltype_GarciaAlonso2021,Endothelial ACKR1,890,895,5413,0.9944,0.1644
L3,Endo_ven_hev,High endothelial venule,11495,celltype_GarciaAlonso2021,Endothelial SEMA3G,5,895,324,0.0056,0.0154
L3,Endo_ven_hev,High endothelial venule,11495,celltype_HECA,Venous,3055,3069,6662,0.9954,0.4586
L3,Endo_ven_hev,High endothelial venule,11495,celltype_HECA,Arterial,13,3069,815,0.0042,0.016
L3,Endo_ven_hev,High endothelial venule,11495,celltype_HECA,Lymphatic,1,3069,101,0.0003,0.0099
L3,Endo_ven_hev,High endothelial venule,11495,celltype_OvarySanger2026,Endo_Cap,237,252,7359,0.9405,0.0322
L3,Endo_ven_hev,High endothelial venule,11495,celltype_OvarySanger2026,Endo_Ven,7,252,788,0.0278,0.0089
L3,Endo_ven_hev,High endothelial venule,11495,celltype_OvarySanger2026,Endo_Cap_LY6H+_angiogenic,3,252,1048,0.0119,0.0029
L3,Endo_ven_hev,High endothelial venule,11495,celltype_OvarySanger2026,Endo_Art,2,252,2153,0.0079,0.0009
L3,Endo_ven_hev,High endothelial venule,11495,celltype_OvarySanger2026,Endo_Cap_VCAN+_activated,2,252,175,0.0079,0.0114
L3,Endo_ven_hev,High endothelial venule,11495,celltype_OvarySanger2026,Endo_Art_LY6H+_angiogenic,1,252,588,0.004,0.0017
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Ulrich2022,blood vessel endothelial cell,7,7,3418,1.0,0.002
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Ulrich2024,PCV,368,1234,3751,0.2982,0.0981
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Ulrich2024,HEV,353,1234,616,0.2861,0.5731
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Ulrich2024,tPCV,179,1234,3680,0.1451,0.0486
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Ulrich2024,Capillary,134,1234,1656,0.1086,0.0809
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Ulrich2024,aPCV,102,1234,2402,0.0827,0.0425
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Ulrich2024,Tip,77,1234,290,0.0624,0.2655
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Ulrich2024,EndoMT,10,1234,125,0.0081,0.08
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Ulrich2024,Artery,6,1234,1128,0.0049,0.0053
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Ulrich2024,HMGB2-Prolif,5,1234,1402,0.0041,0.0036
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Weigert2025,endothelial cell,18,19,4780,0.9474,0.0038
L3,Endo_ven_hev,High endothelial venule,11495,celltype_Weigert2025,endothelial cell of lymphatic vessel,1,19,2789,0.0526,0.0004
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_GarciaAlonso2021,Endothelial ACKR1,1327,1327,5413,1.0,0.2452
L4,Endo_ven_pcv,Post-capillary venous endothelial,13904,celltype_GarciaAlonso2022,Endothelial,673,673,6280,1.0,0.1072
